n,grid,step2,seed,wall,sigma_x,err_sigma_x,emit_x,err_emit_x,emit_x_q99,err_emit_x_q99,emit_x_q999,err_emit_x_q999,r_q999,err_r_q999,halo_x,err_halo_x
2000,24,25,0,1.1445012080002925,1.6398082245666126,0.012035385812524552,4.607644917064764,0.05179966559596975,26.812264003899728,0.1344207072651187,51.0820457089493,0.2264858257173799,4.058803728285113,0.01324582997204937,3.3876425156616197,0.13447796153171207
2000,24,25,1,1.085589833004633,1.639835454514347,0.014509817547728123,4.724163448504171,0.02888151096938956,31.374498305042803,0.011859523468316476,77.69419877059335,0.13963633701843792,4.4580614854915845,0.07444385230359092,4.132728333970324,0.05193475752828191
2000,24,25,2,1.0526910409971606,1.6870243277180352,0.040511523235007965,4.622661241266817,0.04754109002503538,28.122340558767807,0.09335686901290403,52.67081111802128,0.1654784819232834,3.9474071980726073,0.0246178298230725,3.536770942520839,0.07761228815066695
2000,24,50,0,1.6089874169992981,1.6162122046369825,0.002527297052073544,4.677272111663638,0.03747118968460897,27.177903825480644,0.12261677089802615,52.16502955698792,0.21008665169545457,4.100977261955702,0.0029928310590296853,3.520825078661769,0.10045062751302584
2000,24,50,1,1.6379133329974138,1.6167953914854143,0.0002557226777686231,4.8000698437149225,0.01327787984435595,31.794036580981647,0.025390060143064396,78.51852207796775,0.1517277004586984,4.515971280228362,0.08840077576585945,4.3113630638458895,0.09740401320453294
2000,24,50,2,1.5218802910021623,1.6637235865989384,0.026140248775006078,4.6968798657605175,0.032248991708581885,28.534782684129784,0.08006004476359484,53.8269338164321,0.14716076004125522,4.006053580637643,0.01012663774964227,3.6644929439178258,0.04430246782698624
2000,24,100,0,2.4981712920052814,1.616233573935652,0.0025141086279032616,4.677596140848681,0.0374045082047761,27.17840547272503,0.12260057623923369,52.168133699652415,0.21003964695403007,4.101557044010762,0.0028518776158880828,3.52104755658225,0.10039378575880928
2000,24,100,1,2.4222091249976074,1.6168187691857512,0.0002701856572329184,4.8003991470545335,0.013210186894041746,31.795855752916726,0.02544873029069318,78.53350589632547,0.1519474865448921,4.516294112707548,0.08847858208901467,4.311632369600153,0.09747256164527682
2000,24,100,2,2.2327752920027706,1.6637290985388147,0.026143648392227027,4.697031683697842,0.03221771095069114,28.531432885178756,0.08016803976503473,53.845239329745276,0.14687072568569814,4.00650216394645,0.010015795330987566,3.6647712495723628,0.044229885881461616
2000,32,25,0,1.4055142919969512,1.6303766356289249,0.0062145211489748895,4.654750565404114,0.04210586489916097,26.94505879175742,0.13013369821075385,52.7283378574649,0.20155670836873962,4.0326616768635155,0.019601342576312616,3.4219129002765873,0.12572208690388229
2000,32,25,1,1.527268042002106,1.629444244074017,0.008081132902022961,4.789199054360623,0.015512524061769803,31.89093548759938,0.028515148567476254,78.03104048383693,0.1445772085675404,4.453884513762454,0.07343715430038583,4.184801219400571,0.06518926488571096
2000,32,25,2,1.5431604580007843,1.6751342122698354,0.033178017764354015,4.686688271771224,0.034348880494568156,28.612025701440064,0.07756978791905032,53.77755651108991,0.1479430989294939,3.957658383385865,0.022084819450437672,3.591184884964451,0.06342116503894761
2000,32,50,0,2.364203582998016,1.6070417655141134,0.008186988689634342,4.727137550164472,0.027209455911118598,27.283496364854738,0.1192079309904296,53.73613243667323,0.18629609417516477,4.081223094468849,0.007795356248223352,3.5565978143570316,0.09131091133063404
2000,32,50,1,2.3247861250056303,1.607329359842554,0.005600585653937356,4.869219176035665,0.0009367416124985906,32.53838909603678,0.04939618683402323,78.92080640643807,0.1576284993058753,4.5115099468413336,0.08732554334782995,4.360664196072166,0.10995300514964218
2000,32,50,2,2.6353652910038363,1.6522138722905568,0.01904136456198868,4.763729003236116,0.01847531172433838,28.919145301841315,0.06766848274448928,54.98051112100379,0.12888336762987032,4.0173798436812,0.0073279817019933965,3.720753072404981,0.02962986051738501
2000,32,100,0,3.4036440000054426,1.6070507746870721,0.008181428526138039,4.727486590976114,0.02713762732617407,27.2876099521803,0.11907513220822509,53.72876414272469,0.18640766918611773,4.081183708319322,0.007804931593544154,3.5567143467558457,0.09128113801219713
2000,32,100,1,3.4120415829966078,1.607342634845197,0.005592372866201769,4.869557485173138,0.0010062858317002599,32.53972975322258,0.04943942439364788,78.94063966076082,0.1579194180316642,4.511789330582617,0.08739287802776476,4.360896039201507,0.11001201794369474
2000,32,100,2,3.5840372090024175,1.6522090342600384,0.019038380594050885,4.763946434790064,0.018430511854726696,28.92246483773439,0.06756146340130087,55.002479779788004,0.12853529403674424,4.017982615369184,0.007179040199977974,3.7210102523850077,0.029562788134930598
2000,48,25,0,2.224003666997305,1.6285160166472883,0.005066208669063799,4.658700815957806,0.04129294876447395,27.01306609213333,0.1279382211353518,52.94747576208774,0.19823839421362224,3.9876086181042494,0.030554395884461467,3.4079010288325646,0.12930203475225127
2000,48,25,1,2.294383750006091,1.6275191321017877,0.006890132310879122,4.807253378672749,0.011801202822024674,32.342976937371816,0.04309394570097966,78.87545145513816,0.156963222472045,4.424263126990416,0.06629806099323873,4.169423525524166,0.06127506357074579
2000,48,25,2,2.2815396250007325,1.6702868309103551,0.030188282477681374,4.7098656967595005,0.029573374830581776,28.619548499403823,0.0773272585646606,54.94084770285958,0.12951179873277566,3.957012703719246,0.022244363273221764,3.599710633117268,0.06119765510339177
2000,48,50,0,4.0443815420003375,1.6047112242850645,0.009625321634034477,4.735481193597187,0.025492430047483184,27.33624222764625,0.11750513832051084,54.14650396867403,0.1800820087304802,4.0403901185920885,0.017722446080199086,3.55051765133366,0.09286435596650651
2000,48,50,1,3.9978847920065164,1.6057339556518855,0.006587607376107239,4.888366690640224,0.004872783549692333,32.95180552930343,0.06272928784784644,79.5066590647334,0.16622192054062648,4.474304221620313,0.07835853765167279,4.345363900666032,0.10605850465565488
